Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2023;676,1
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2022;623,2
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2021;567,6
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2020;664,6
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2019;672,1
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2018;682,4
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2017;739,8
TOTAL (Millones de euros);Cataluña;Telefonía móvil y servicios relacionados con Internet;2016;798,7
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2023;160,7
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2022;181,4
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2021;195,9
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2020;216,1
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2019;232,0
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2018;265,7
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2017;248,4
TOTAL (Millones de euros);Comunitat Valenciana;Libro y publicaciones periódicas;2016;314,3
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2023;303,6
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2022;194,2
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2021;158,8
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2020;105,8
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2019;331,7
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2018;329,2
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2017;278,6
TOTAL (Millones de euros);Comunitat Valenciana;Servicios culturales;2016;255,9
